step1,step2,step3,step4
중천건,천지비,중지곤,지천태
중지곤,지천태,중천건,천지비
수뢰둔,뇌화풍,화풍정,풍수환
산수몽,수택절,택화혁,화산려
수천수,천화동인,화지진,지수사
천수송,수지비,지화명이,화천대유
지수사,수천수,천화동인,화지진
수지비,지화명이,화천대유,천수송
풍천소축,천뢰무망,뇌지예,지풍승
천택리,택지취,지산겸,산천대축
지천태,중천건,천지비,중지곤
천지비,중지곤,지천태,중천건
천화동인,화지진,지수사,수천수
화천대유,천수송,수지비,지화명이
지산겸,산천대축,천택리,택지취
뇌지예,지풍승,풍천소축,천뢰무망
택뢰수,뇌산소과,산풍고,중택중부
산풍고,중택중부,택뢰수,뇌산소과
지택림,택천쾌,천산둔,산지박
풍지관,지뢰복,뇌천대장,천풍구
화뢰서합,뇌수해,수풍정,풍화가인
산화비,화택규,택수곤,수산건
산지박,지택림,택천쾌,천산둔
지뢰복,뇌천대장,천풍구,풍지관
천뢰무망,뇌지예,지풍승,풍천소축
산천대축,천택리,택지취,지산겸
산뢰이,뇌택귀매,택풍대과,풍산점
택풍대과,풍산점,산뢰이,뇌택귀매
중수감,수화기제,중화리,화수미제
중화리,화수미제,중수감,수화기제
택산함,중산간,산택손,중택태
뇌풍항,중풍손,풍뢰익,중뢰진
천산둔,산지박,지택림,택천쾌
뇌천대장,천풍구,풍지관,지뢰복
화지진,지수사,수천수,천화동인
지화명이,화천대유,천수송,수지비
풍화가인,화뢰서합,뇌수해,수풍정
화택규,택수곤,수산건,산화비
수산건,산화비,화택규,택수곤
뇌수해,수풍정,풍화가인,화뢰서합
산택손,중택태,택산함,중산간
풍뢰익,중뢰진,뇌풍항,중풍손
택천쾌,천산둔,산지박,지택림
천풍구,풍지관,지뢰복,뇌천대장
택지취,지산겸,산천대축,천택리
지풍승,풍천소축,천뢰무망,뇌지예
택수곤,수산건,산화비,화택규
수풍정,풍화가인,화뢰서합,뇌수해
택화혁,화산려,산수몽,수택절
화풍정,풍수환,수뢰둔,뇌화풍
중뢰진,뇌풍항,중풍손,풍뢰익
중산간,산택손,중택태,택산함
풍산점,산뢰이,뇌택귀매,택풍대과
뇌택귀매,택풍대과,풍산점,산뢰이
뇌화풍,화풍정,풍수환,수뢰둔
화산려,산수몽,수택절,택화혁
중풍손,풍뢰익,중뢰진,뇌풍항
중택태,택산함,중산간,산택손
풍수환,수뢰둔,뇌화풍,화풍정
수택절,택화혁,화산려,산수몽
중택중부,택뢰수,뇌산소과,산풍고
뇌산소과,산풍고,중택중부,택뢰수
수화기제,중화리,화수미제,중수감
화수미제,중수감,수화기제,중화리
